name,ok,skew,arm,budget_gib,util,gpu_kv_gib,gpu_kv_tokens,gpu_kv_frac_of_ws,sessions_resident,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,itl_p50_ms,e2e_p50_ms,output_tok_per_s,req_per_s,duration_s,n_ok,n_failed,gpu_hit_rate,dram_hit_rate,prefix_queries,prefix_hits,external_queries,external_hits,preemptions,kv_load_gib,kv_store_gib,kv_load_s,kv_store_s,kv_load_gbps,kv_store_gbps,gpu_mem_used_gib
zipf_b24_offload,True,zipf,offload,24.0,0.7655,7.77,63648,1.295,10.36,52.27,61.65,67.92,70.81,52.51,13.24,1797.77,207.51,1.621,14.8,24,0,0.9796,0.0,150528.0,147456.0,150528.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24.955
zipf_b24_nooffload,True,zipf,nooffload,24.0,0.7655,7.77,63648,1.295,10.36,51.97,60.36,61.92,70.37,50.73,13.25,1798.46,207.59,1.622,14.8,24,0,0.9796,,150528.0,147456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24.982
