name,setup,ok,hung,hung_phase,kv_transfer_ok,skew,arm,budget_gib,util,gpu_kv_gib,gpu_kv_tokens,prefill_kv_gib,gpu_kv_frac_of_ws,sessions_resident,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,itl_p50_ms,e2e_p50_ms,output_tok_per_s,req_per_s,duration_s,n_ok,n_failed,preemptions,prefill_prompt_tok_s,prefill_hit_rate,decode_gen_tok_s,max_inflight,prefill_sm_active_mean,prefill_sm_occupancy_mean,prefill_dram_active_mean,prefill_fb_used_max_gib,decode_sm_active_mean,decode_sm_occupancy_mean,decode_dram_active_mean,decode_fb_used_max_gib,kv_markers
split_lmcache_zipf_b20_fwd,split_lmcache,True,False,,True,zipf,disagg,20.0,0.6379,3.77,30896,6.66,0.1571,5.03,393.15,16321.43,18663.6,20158.93,4751.14,12.46,15009.52,207.06,1.617,185.47,300,0,0.0,10145.0,0.6032,207.0,28,0.0277,0.0022,0.0151,24.79,0.6012,0.0404,0.5432,21.05,{}
split_lmcache_zipf_b18_fwd,split_lmcache,True,False,,True,zipf,disagg,18.0,0.5741,1.77,14512,6.66,0.0737,2.36,39451.91,99673.65,108616.88,113935.11,44870.63,11.72,66420.57,132.37,1.035,289.88,300,0,0.0,6491.0,0.6032,132.5,28,0.0178,0.0013,0.0097,24.79,0.6839,0.0461,0.6225,19.06,{}
