name,scenario,wl,ok,comparable,hung,hung_side,hung_phase,qwen_sessions,qwen_ws_gib,qwen_kv_grant_gib,big_decode_kv_gib,big_prefill_kv_gib,big_ttft_p50_ms,big_ttft_p90_ms,big_ttft_p95_ms,big_ttft_p99_ms,big_ttft_mean_ms,big_itl_p50_ms,big_tpot_p50_ms,big_tpot_p95_ms,big_e2e_p50_ms,big_tok_per_s,big_n_ok,big_n_failed,big_duration_s,qwen_ttft_p50_ms,qwen_ttft_p90_ms,qwen_ttft_p95_ms,qwen_ttft_p99_ms,qwen_ttft_mean_ms,qwen_itl_p50_ms,qwen_tpot_p50_ms,qwen_tpot_p95_ms,qwen_e2e_p50_ms,qwen_tok_per_s,qwen_n_ok,qwen_n_failed,qwen_duration_s,big_preemptions,qwen_preemptions,big_prefill_hit_rate,qwen_prefix_hit_rate,big_decode_gen_tok_s,qwen_gen_tok_s,qwen_populate_ok,qwen_populate_probe_s,big_kv_markers,qwen_kv_markers,gpu0_sm_active_mean,gpu0_sm_occupancy_mean,gpu0_dram_active_mean,gpu0_fb_used_max_gib,gpu1_sm_active_mean,gpu1_sm_occupancy_mean,gpu1_dram_active_mean,gpu1_fb_used_max_gib,swap_in_pages,swap_out_pages,max_inflight,qwen_max_inflight
infc_A_fits,A,fits,True,True,False,,,8,0.562,1.04,9.77,6.66,141.25,593.1,811.42,1046.41,242.51,17.07,96.89,165.48,12522.59,236.34,300,0,162.45,12.41,21.1,23.24,30.81,14.22,1.68,1.86,3.54,243.83,271.19,300,0,140.25,0.0,0.0,0.6032,0.9796,236.4,273.8,,,{},{},0.0307,0.0026,0.0163,24.79,0.489,0.0342,0.3926,30.26,490096,475573,999,999
infc_A_offload,A,offload,True,True,False,,,48,3.375,1.04,9.77,6.66,311.78,5527.08,7875.35,9927.39,1475.85,17.07,198.65,314.73,26823.33,212.36,300,0,180.85,111.12,2967.83,4192.96,5218.12,775.65,1.74,2.03,36.15,451.97,260.97,300,0,144.39,0.0,0.0,0.5953,0.4196,212.3,265.9,,,{},{},0.0241,0.0022,0.0115,24.79,0.3736,0.0253,0.3055,30.27,67039,0,999,999
