name,ok,hung,hung_phase,skew,arm,budget_gib,util,gpu_kv_gib,gpu_kv_tokens,gpu_kv_frac_of_ws,sessions_resident,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,itl_p50_ms,e2e_p50_ms,output_tok_per_s,req_per_s,duration_s,n_ok,n_failed,gpu_hit_rate,dram_hit_rate,prefix_queries,prefix_hits,external_queries,external_hits,preemptions,kv_load_gib,kv_store_gib,kv_load_s,kv_store_s,kv_load_gbps,kv_store_gbps,gpu_mem_used_gib
zipf_b18_offload,False,True,measure,zipf,offload,18.0,0.5741,1.768,14480,0.0737,2.36,6032.57,12171.92,12906.54,13861.42,6490.15,12.42,7655.03,32.95,0.258,330.08,85,15,-0.0,-0.0,-602112.0,0.0,-200704.0,0.0,-7.0,0.0,-24.5,0,-1.838,,14.31,0.16
zipf_b18_nooffload,True,False,,zipf,nooffload,18.0,0.5741,1.768,14480,0.0737,2.36,20078.6,42321.04,45662.01,46824.11,21807.0,12.47,21928.59,123.21,0.963,101.81,98,2,0.1135,,8605184.0,976912.0,0.0,0.0,28.0,0.0,0.0,0,0,,,18.982
