name,ok,skew,arm,budget_gib,util,gpu_kv_gib,gpu_kv_tokens,gpu_kv_frac_of_ws,sessions_resident,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,itl_p50_ms,e2e_p50_ms,output_tok_per_s,req_per_s,duration_s,n_ok,n_failed,gpu_hit_rate,dram_hit_rate,prefix_queries,prefix_hits,external_queries,external_hits,preemptions,kv_load_gib,kv_store_gib,kv_load_s,kv_store_s,kv_load_gbps,kv_store_gbps,gpu_mem_used_gib
zipf_b30_offload,True,zipf,offload,30.0,0.9568,13.768,112784,0.5737,18.36,59.29,158.5,470.5,577.54,110.37,13.8,1952.57,234.15,1.829,53.57,98,2,0.6857,0.2531,627200.0,430080.0,627200.0,158720.0,0.0,19.375,4.688,1.452,0.354,14.33,14.2,31.0
zipf_b30_nooffload,True,zipf,nooffload,30.0,0.9568,13.768,112784,0.5737,18.36,182.98,1018.13,1102.67,1311.34,376.76,14.84,2745.65,233.93,1.828,53.62,98,2,0.6857,,627200.0,430080.0,0.0,0.0,0.0,0.0,0.0,0,0,,,30.982
