name,ok,hung,hung_phase,skew,arm,budget_gib,util,gpu_kv_gib,gpu_kv_tokens,gpu_kv_frac_of_ws,sessions_resident,ttft_p50_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,itl_p50_ms,e2e_p50_ms,output_tok_per_s,req_per_s,duration_s,n_ok,n_failed,gpu_hit_rate,dram_hit_rate,prefix_queries,prefix_hits,external_queries,external_hits,preemptions,kv_load_gib,kv_load_gib_derived,kv_load_gbps_derived,kv_store_gib,kv_load_s,kv_store_s,kv_load_gbps,kv_store_gbps,gpu_mem_used_gib
zipf_b19_offload,True,False,,zipf,offload,19.0,0.606,2.768,22672,0.1153,3.69,2077.67,4703.63,5451.47,6185.86,2262.35,12.21,3826.84,248.5,1.941,154.53,300,0,0.0359,0.5887,56253568.0,2018080.0,1881600.0,1107664.0,7.0,0.0,135.213,0.939,0.0,0,0,,,20.213
zipf_b18_offload,False,True,measure,zipf,offload,18.0,0.5741,1.768,14480,0.0737,2.36,4856.32,9988.06,10666.16,11533.86,5351.5,11.79,6442.74,28.22,0.221,390.01,86,214,0.0253,0.6705,33812352.0,854240.0,545664.0,365888.0,1.0,0.0,44.664,0.123,0.0,0,0,,,0.16
