ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787729326.890,96,15.6,65512,10.9755,1.52,2.3
1787729326.906,97,15.9,64524,10.9882,1.52,1.9
1787729327.497,98,590.8,1733,11.0028,1.52,576.8
1787729328.107,99,428.0,2393,10.9922,1.52,408.8
1787729328.157,100,49.9,20504,11.0023,1.52,32.9
1787729328.195,101,38.2,26829,10.9912,1.52,23.6
1787729328.211,102,15.2,67473,11.0106,1.52,1.9
1787729328.226,103,15.1,67611,11.0086,1.52,2.2
1787729328.241,104,14.9,68929,11.0048,1.52,2.5
1787729328.257,105,15.4,66425,10.9788,1.52,2.4
1787729328.272,106,15.2,67409,10.9689,1.52,2.6
1787729328.287,107,14.5,70421,10.9686,1.52,2.8
1787729328.301,108,14.0,72961,10.9940,1.52,3.7
1787729328.315,109,14.0,73396,10.9759,1.52,4.0
1787729328.329,110,13.9,73580,10.9714,1.52,4.0
1787729328.343,111,13.9,73511,10.9991,1.52,4.0
1787729328.357,112,13.9,73557,11.0154,1.52,3.9
1787729328.371,113,13.9,73586,10.9963,1.52,4.0
1787729328.385,114,13.9,73521,11.0164,1.52,4.0
1787729328.399,115,13.9,73601,11.0153,1.52,3.8
1787729328.413,116,13.9,73726,11.0171,1.52,3.9
1787729329.011,117,597.8,1713,11.0093,1.52,585.3
1787729329.620,118,608.3,1683,11.0151,1.52,591.8
1787729329.671,119,51.5,19898,10.9967,1.52,36.6
1787729329.712,120,40.8,25128,11.0035,1.52,24.2
1787729329.728,121,15.8,64694,11.0043,1.52,2.4
1787729329.744,122,15.6,65535,11.0105,1.52,2.1
1787729329.760,123,15.5,66003,10.9771,1.52,2.0
1787729329.775,124,15.2,67150,10.9905,1.52,2.6
1787729329.791,125,15.4,66495,11.0094,1.52,2.9
1787729329.807,126,16.0,63844,11.0029,1.52,2.2
1787729329.822,127,14.8,69024,11.0061,1.52,4.0
1787729329.837,128,14.6,70234,10.9998,1.52,4.4
1787729329.852,129,14.6,70235,10.9956,1.52,4.5
1787729329.866,130,14.6,70289,10.9851,1.52,4.5
1787729329.881,131,14.6,70303,10.9935,1.52,4.2
1787729329.896,132,14.6,70199,10.9871,1.52,4.6
1787729329.911,133,14.6,70199,11.0162,1.52,4.6
1787729329.925,134,14.6,70281,11.0015,1.52,4.5
1787729329.940,135,14.6,70284,10.9683,1.52,4.6
1787729329.955,136,14.6,70322,10.9925,1.52,4.6
1787729329.969,137,14.6,70010,11.0078,1.52,4.5
1787729329.984,138,14.6,70277,11.0062,1.52,4.5
1787729329.999,139,14.6,70190,11.0074,1.52,4.6
1787729330.013,140,14.6,70337,10.9981,1.52,4.6
1787729330.028,141,14.6,70288,11.0594,1.52,4.5
1787729330.043,142,14.6,70339,10.9765,1.52,4.5
1787729330.058,143,14.6,70310,10.9966,1.52,4.6
1787729330.072,144,14.6,70270,10.9863,1.52,4.6
1787729330.087,145,14.6,70278,10.9831,1.52,4.6
1787729330.102,146,14.6,70326,11.0101,1.52,4.5
1787729330.116,147,14.6,70168,11.0130,1.52,4.4
1787729330.131,148,14.6,70210,11.0158,1.52,4.6
1787729330.146,149,14.6,70246,11.0021,1.52,4.5
1787729330.160,150,14.5,70442,11.0179,1.52,4.5
1787729330.175,151,14.6,70144,10.9980,1.52,4.4
1787729330.190,152,14.7,69883,11.0229,1.52,4.4
1787729330.205,153,14.6,70219,11.0426,1.52,4.6
1787729330.219,154,14.6,70312,10.9831,1.52,4.5
1787729330.234,155,14.6,70186,11.0191,1.52,4.6
