ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731016.010,110,607.7,1685,10.9637,1.52,0.0
1787731016.062,111,50.9,20113,10.9904,1.52,0.0
1787731016.106,112,43.7,23443,11.0154,1.52,0.0
1787731016.121,113,15.5,66040,10.9910,1.52,0.0
1787731016.137,114,15.2,67396,11.0157,1.52,0.0
1787731016.152,115,15.0,68066,11.0087,1.52,0.0
1787731016.752,116,600.3,1706,11.0199,1.52,0.0
1787731017.360,117,607.4,1686,11.0154,1.52,0.0
1787731017.414,118,54.2,18886,11.0140,1.52,0.0
1787731017.453,119,38.6,26536,11.0047,1.52,0.0
1787731017.469,120,15.4,66282,10.9976,1.52,0.0
1787731017.484,121,15.5,66238,11.0200,1.52,0.0
1787731017.500,122,15.2,67309,10.9983,1.52,0.0
1787731017.515,123,15.0,68088,10.9618,1.52,0.0
1787731017.530,124,15.4,66559,10.9800,1.52,0.0
1787731017.546,125,15.2,67394,10.9985,1.52,0.0
1787731017.561,126,15.1,67976,10.9845,1.52,0.0
1787731017.576,127,15.5,66049,10.9952,1.52,0.0
1787731017.592,128,15.1,67618,11.0005,1.52,0.0
1787731017.607,129,15.4,66523,10.9957,1.52,0.0
1787731017.623,130,15.3,67020,10.9766,1.52,0.0
1787731017.638,131,15.1,68020,10.9942,1.52,0.0
1787731017.653,132,15.4,66630,10.9972,1.52,0.0
1787731017.669,133,15.2,67390,11.0289,1.52,0.0
1787731018.856,134,1187.2,863,10.9942,1.52,0.0
1787731018.911,135,55.1,18600,10.9653,1.52,0.0
1787731018.942,136,31.0,32995,10.9962,1.52,0.0
1787731018.958,137,15.3,67036,11.0101,1.52,0.0
1787731018.974,138,15.5,66260,11.0060,1.52,0.0
1787731018.989,139,15.2,67566,11.0142,1.52,0.0
1787731019.005,140,15.8,64994,11.0025,1.52,0.0
1787731019.020,141,15.1,67633,11.0361,1.52,0.0
1787731019.036,142,15.4,66364,10.9746,1.52,0.0
1787731019.051,143,15.1,67775,11.0138,1.52,0.0
