ts,step,dt_ms,tok_per_s,loss,peak_gib
1787726398.525,111,127.5,8030,10.9937,1.52
1787726398.636,112,110.6,9255,11.0317,1.52
1787726398.733,113,97.0,10555,10.9899,1.52
1787726398.789,114,56.1,18257,10.9799,1.52
1787726398.845,115,55.9,18324,11.0519,1.52
1787726398.901,116,55.9,18324,10.9991,1.52
1787726398.957,117,55.8,18342,10.9964,1.52
1787726399.013,118,55.7,18376,11.0199,1.52
1787726399.069,119,55.7,18392,10.9817,1.52
1787726399.125,120,55.6,18401,10.9890,1.52
1787726399.181,121,55.6,18404,11.0210,1.52
1787726399.236,122,55.7,18394,11.0135,1.52
1787726399.292,123,55.7,18400,10.9994,1.52
1787726399.348,124,55.8,18356,10.9823,1.52
1787726399.447,125,98.2,10427,11.0287,1.52
1787726399.558,126,110.7,9254,11.0006,1.52
1787726399.692,127,134.4,7619,10.9926,1.52
1787726399.817,128,123.9,8268,11.0053,1.52
1787726399.953,129,136.5,7500,11.0165,1.52
1787726400.046,130,92.1,11122,11.0155,1.52
1787726400.118,131,72.3,14171,10.9604,1.52
1787726400.174,132,56.0,18280,11.0267,1.52
1787726400.230,133,55.8,18335,11.0004,1.52
1787726400.286,134,55.9,18335,10.9997,1.52
1787726400.342,135,55.9,18319,10.9888,1.52
1787726400.398,136,55.8,18347,11.0075,1.52
1787726400.454,137,55.7,18398,11.0192,1.52
1787726400.510,138,55.7,18393,11.0191,1.52
1787726400.566,139,55.6,18406,11.0241,1.52
1787726400.622,140,55.6,18403,11.0104,1.52
1787726400.677,141,55.7,18388,11.0640,1.52
1787726400.733,142,55.6,18406,10.9777,1.52
1787726400.789,143,55.7,18387,11.0395,1.52
1787726400.845,144,55.5,18455,10.9618,1.52
1787726400.900,145,55.1,18572,10.9964,1.52
1787726401.039,146,138.6,7389,11.0109,1.52
1787726401.156,147,117.0,8755,11.0072,1.52
1787726401.271,148,115.1,8897,10.9973,1.52
1787726401.415,149,142.9,7167,11.0073,1.52
1787726401.513,150,97.9,10462,10.9995,1.52
1787726401.606,151,93.4,10965,11.0132,1.52
1787726401.663,152,56.0,18282,11.0110,1.52
1787726401.719,153,55.9,18316,11.0094,1.52
1787726401.775,154,55.8,18341,10.9791,1.52
