ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724930.608,127,38.1,26887,11.9684,4.01
1787724930.761,128,38.2,26794,11.9603,4.01
1787724930.914,129,38.0,26951,11.9746,4.01
1787724931.067,130,38.1,26904,11.9657,4.01
1787724931.220,131,38.0,26974,11.9727,4.01
1787724931.373,132,39.3,26025,11.9753,4.01
1787724931.530,133,38.1,26885,11.9536,4.01
1787724931.684,134,39.0,26236,11.9576,4.01
1787724931.839,135,38.1,26846,11.9607,4.01
1787724931.993,136,38.4,26689,11.9723,4.01
1787724932.146,137,38.2,26819,11.9775,4.01
1787724932.299,138,38.1,26847,11.9670,4.01
1787724932.452,139,38.1,26904,11.9669,4.01
1787724932.605,140,38.0,26922,11.9577,4.01
1787724932.758,141,38.3,26729,11.9564,4.01
1787724932.912,142,38.1,26886,11.9713,4.01
1787724933.065,143,38.1,26897,11.9590,4.01
1787724933.217,144,38.0,26977,11.9639,4.01
1787724933.370,145,38.1,26885,11.9611,4.01
1787724933.523,146,38.0,26954,11.9637,4.01
1787724933.675,147,38.0,26932,11.9624,4.01
1787724933.828,148,37.9,27018,11.9646,4.01
1787724933.980,149,38.4,26656,11.9568,4.01
1787724934.134,150,38.1,26889,11.9601,4.01
1787724934.287,151,38.2,26803,11.9588,4.01
1787724934.440,152,38.0,26942,11.9722,4.01
1787724934.592,153,38.1,26898,11.9613,4.01
1787724934.746,154,39.3,26078,11.9689,4.01
1787724934.903,155,38.4,26655,11.9589,4.01
1787724935.057,156,38.2,26833,11.9602,4.01
1787724935.210,157,38.3,26742,11.9521,4.01
1787724935.364,158,38.5,26626,11.9617,4.01
1787724935.516,159,36.9,27779,11.9540,4.01
1787724935.664,160,36.5,28051,11.9608,4.01
1787724935.810,161,36.7,27932,11.9625,4.01
1787724935.999,162,77.6,13190,11.9574,4.01
1787724936.311,163,77.8,13160,11.9611,4.01
1787724936.586,164,41.5,24689,11.9657,4.01
1787724936.748,165,37.1,27595,11.9546,4.01
1787724936.897,166,37.0,27705,11.9512,4.01
1787724937.046,167,37.5,27325,11.9485,4.01
1787724937.196,168,37.1,27608,11.9752,4.01
1787724937.344,169,36.9,27747,11.9520,4.01
1787724937.492,170,36.9,27755,11.9630,4.01
1787724937.640,171,36.9,27727,11.9561,4.01
1787724937.788,172,36.9,27762,11.9494,4.01
1787724937.936,173,36.8,27790,11.9508,4.01
1787724938.084,174,37.1,27577,11.9648,4.01
1787724938.234,175,37.8,27096,11.9662,4.01
1787724938.386,176,38.1,26863,11.9645,4.01
1787724938.539,177,38.3,26739,11.9489,4.01
1787724938.692,178,38.1,26852,11.9728,4.01
1787724938.846,179,38.0,26934,11.9601,4.01
1787724938.998,180,38.0,26918,11.9647,4.01
1787724939.151,181,38.1,26902,11.9617,4.01
1787724939.304,182,38.0,26982,11.9546,4.01
1787724939.456,183,38.3,26721,11.9615,4.01
1787724939.609,184,37.9,26993,11.9487,4.01
1787724939.762,185,38.1,26890,11.9592,4.01
1787724939.914,186,37.9,27016,11.9553,4.01
1787724940.067,187,38.0,26921,11.9510,4.01
1787724940.220,188,38.0,26936,11.9513,4.01
1787724940.372,189,38.1,26860,11.9625,4.01
1787724940.525,190,38.0,26924,11.9797,4.01
1787724940.677,191,38.1,26899,11.9566,4.01
1787724940.830,192,38.0,26947,11.9576,4.01
1787724940.982,193,38.0,26957,11.9449,4.01
1787724941.135,194,38.0,26932,11.9607,4.01
1787724941.289,195,39.2,26106,11.9512,4.01
1787724941.446,196,38.3,26703,11.9486,4.01
1787724941.600,197,38.3,26711,11.9464,4.01
1787724941.753,198,38.3,26734,11.9521,4.01
1787724941.908,199,39.4,26015,11.9515,4.01
1787724942.063,200,36.8,27857,11.9564,4.01
1787724942.211,201,36.7,27926,11.9484,4.01
1787724942.358,202,36.8,27848,11.9577,4.01
1787724942.505,203,36.5,28031,11.9551,4.01
1787724942.651,204,36.4,28138,11.9517,4.01
1787724942.797,205,36.9,27755,11.9620,4.01
1787724942.947,206,39.2,26154,11.9457,4.01
1787724943.147,207,80.0,12798,11.9499,4.01
1787724943.460,208,71.6,14299,11.9523,4.01
1787724943.715,209,40.0,25595,11.9604,4.01
1787724943.874,210,37.7,27133,11.9584,4.01
1787724944.028,211,41.1,24905,11.9470,4.01
1787724944.224,212,71.3,14362,11.9624,4.01
1787724944.475,213,37.0,27704,11.9591,4.01
1787724944.623,214,36.9,27741,11.9585,4.01
1787724944.771,215,36.9,27736,11.9542,4.01
1787724944.920,216,37.0,27695,11.9487,4.01
1787724945.068,217,37.1,27605,11.9478,4.01
1787724945.216,218,36.8,27838,11.9485,4.01
1787724945.364,219,36.8,27806,11.9548,4.01
1787724945.512,220,37.2,27509,11.9481,4.01
1787724945.662,221,38.3,26750,11.9436,4.01
1787724945.816,222,37.9,27000,11.9522,4.01
1787724945.968,223,38.4,26647,11.9579,4.01
1787724946.122,224,38.2,26780,11.9545,4.01
1787724946.275,225,38.1,26896,11.9502,4.01
1787724946.428,226,38.1,26895,11.9574,4.01
1787724946.579,227,36.3,28198,11.9562,4.01
1787724946.725,228,36.8,27853,11.9551,4.01
1787724946.872,229,36.6,27988,11.9469,4.01
1787724947.020,230,37.4,27410,11.9401,4.01
1787724947.172,231,39.7,25807,11.9468,4.01
1787724947.328,232,37.1,27609,11.9622,4.01
1787724947.477,233,36.7,27936,11.9499,4.01
1787724947.623,234,36.7,27873,11.9501,4.01
1787724947.772,235,38.3,26728,11.9523,4.01
1787724947.931,236,43.2,23680,11.9483,4.01
1787724948.116,237,54.2,18899,11.9392,4.01
1787724948.358,238,77.6,13201,11.9514,4.01
1787724948.631,239,40.0,25580,11.9572,4.01
1787724948.832,240,77.6,13192,11.9528,4.01
1787724949.102,241,37.2,27498,11.9524,4.01
1787724949.251,242,36.8,27861,11.9571,4.01
1787724949.441,243,77.7,13171,11.9643,4.01
1787724949.719,244,43.3,23632,11.9526,4.01
1787724949.927,245,77.7,13182,11.9457,4.01
1787724950.198,246,37.2,27551,11.9637,4.01
1787724950.347,247,37.1,27632,11.9450,4.01
1787724950.495,248,36.9,27785,11.9589,4.01
1787724950.643,249,36.6,28012,11.9534,4.01
1787724950.789,250,36.7,27883,11.9562,4.01
1787724950.937,251,36.8,27845,11.9422,4.01
1787724951.126,252,77.7,13174,11.9532,4.01
1787724951.411,253,49.1,20854,11.9492,4.01
1787724951.638,254,77.6,13189,11.9532,4.01
1787724951.908,255,37.1,27636,11.9459,4.01
1787724952.057,256,37.1,27631,11.9569,4.01
1787724952.205,257,36.9,27743,11.9483,4.01
1787724952.353,258,36.9,27766,11.9498,4.01
1787724952.501,259,37.0,27708,11.9407,4.01
1787724952.650,260,37.0,27678,11.9421,4.01
1787724952.798,261,37.1,27603,11.9579,4.01
1787724952.947,262,37.1,27620,11.9454,4.01
1787724953.096,263,36.9,27723,11.9472,4.01
1787724953.244,264,37.0,27640,11.9487,4.01
1787724953.393,265,37.6,27216,11.9490,4.01
1787724953.545,266,38.0,26921,11.9606,4.01
1787724953.697,267,38.1,26877,11.9558,4.01
1787724953.851,268,38.5,26586,11.9501,4.01
1787724954.005,269,38.3,26760,11.9417,4.01
1787724954.158,270,38.1,26845,11.9593,4.01
1787724954.311,271,38.2,26794,11.9527,4.01
1787724954.464,272,38.0,26925,11.9456,4.01
1787724954.617,273,38.1,26904,11.9485,4.01
1787724954.770,274,38.3,26719,11.9511,4.01
1787724954.924,275,38.2,26787,11.9535,4.01
