ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731326.142,96,17.7,57945,10.9863,1.52,0.0
1787731327.338,97,1195.2,857,10.9878,1.52,0.0
1787731327.388,98,50.1,20447,11.0000,1.52,0.0
1787731327.441,99,53.0,19306,10.9786,1.52,0.0
1787731327.461,100,19.8,51673,11.0068,1.52,0.0
1787731327.480,101,18.4,55772,10.9921,1.52,0.0
1787731327.498,102,17.9,57174,11.0020,1.52,0.0
1787731327.516,103,18.4,55761,11.0020,1.52,0.0
1787731327.534,104,17.8,57465,11.0002,1.52,0.0
1787731327.552,105,17.9,57097,10.9796,1.52,0.0
1787731327.570,106,17.8,57583,10.9627,1.52,0.0
1787731327.588,107,18.0,56975,10.9674,1.52,0.0
1787731327.606,108,17.9,57186,11.0080,1.52,0.0
1787731327.625,109,18.1,56672,10.9604,1.52,0.0
1787731327.642,110,17.7,57772,10.9695,1.52,0.0
1787731327.661,111,18.0,56807,10.9816,1.52,0.0
1787731327.678,112,17.4,58782,11.0094,1.52,0.0
1787731327.696,113,18.1,56516,10.9938,1.52,0.0
1787731327.714,114,17.8,57597,11.0008,1.52,0.0
1787731327.732,115,18.0,56974,11.0177,1.52,0.0
1787731327.750,116,17.8,57415,11.0200,1.52,0.0
1787731327.768,117,18.0,56928,11.0061,1.52,0.0
1787731327.786,118,17.8,57560,11.0129,1.52,0.0
1787731327.804,119,17.9,57062,10.9975,1.52,0.0
1787731327.822,120,17.8,57568,10.9824,1.52,0.0
1787731327.840,121,17.5,58481,11.0110,1.52,0.0
1787731327.858,122,17.5,58353,11.0080,1.52,0.0
1787731327.876,123,17.8,57534,10.9819,1.52,0.0
1787731327.893,124,17.7,57738,10.9975,1.52,0.0
1787731327.911,125,17.9,57146,11.0099,1.52,0.0
1787731327.929,126,17.8,57668,10.9823,1.52,0.0
1787731327.947,127,18.1,56719,10.9989,1.52,0.0
1787731327.965,128,17.7,57716,10.9825,1.52,0.0
1787731327.983,129,17.9,57092,10.9955,1.52,0.0
1787731328.001,130,17.7,57835,10.9883,1.52,0.0
1787731328.019,131,17.9,57050,10.9839,1.52,0.0
1787731328.037,132,17.8,57610,11.0113,1.52,0.0
1787731328.055,133,18.0,57046,11.0290,1.52,0.0
1787731328.073,134,17.8,57678,10.9986,1.52,0.0
1787731328.091,135,17.9,57062,10.9670,1.52,0.0
1787731328.109,136,17.8,57662,11.0035,1.52,0.0
1787731328.127,137,17.9,57104,11.0098,1.52,0.0
1787731328.145,138,17.7,57925,10.9997,1.52,0.0
1787731328.163,139,17.9,57148,11.0112,1.52,0.0
1787731328.181,140,17.7,57726,10.9999,1.52,0.0
1787731328.199,141,17.9,57089,11.0504,1.52,0.0
1787731328.217,142,17.7,57716,10.9687,1.52,0.0
1787731328.235,143,17.5,58527,11.0078,1.52,0.0
1787731328.253,144,18.5,55350,10.9982,1.52,0.0
1787731328.272,145,17.9,57195,10.9856,1.52,0.0
1787731328.289,146,17.9,57343,11.0150,1.52,0.0
1787731328.308,147,17.9,57053,11.0218,1.52,0.0
1787731328.325,148,17.8,57653,11.0020,1.52,0.0
1787731328.344,149,17.9,57071,11.0137,1.52,0.0
1787731328.361,150,17.8,57674,11.0191,1.52,0.0
1787731328.380,151,18.0,56945,10.9755,1.52,0.0
1787731328.397,152,17.8,57645,11.0252,1.52,0.0
1787731328.415,153,17.9,57228,11.0341,1.52,0.0
1787731328.433,154,17.7,57717,10.9923,1.52,0.0
1787731328.451,155,18.0,57027,10.9993,1.52,0.0
1787731328.469,156,17.4,58932,11.0177,1.52,0.0
1787731328.487,157,17.8,57686,10.9997,1.52,0.0
1787731328.505,158,17.7,57712,11.0209,1.52,0.0
1787731328.523,159,17.9,57235,10.9803,1.52,0.0
1787731328.540,160,17.7,57886,10.9901,1.52,0.0
1787731328.558,161,17.9,57168,11.0129,1.52,0.0
1787731328.576,162,17.8,57661,11.0051,1.52,0.0
1787731328.594,163,18.0,56975,11.0074,1.52,0.0
1787731328.612,164,17.8,57645,11.0143,1.52,0.0
1787731328.631,165,18.1,56592,10.9979,1.52,0.0
1787731328.648,166,17.7,57746,10.9880,1.52,0.0
1787731328.666,167,17.9,57077,11.0308,1.52,0.0
1787731328.684,168,17.8,57607,11.0058,1.52,0.0
1787731328.702,169,18.0,57002,11.0411,1.52,0.0
1787731328.720,170,17.8,57368,10.9570,1.52,0.0
1787731328.738,171,18.0,57012,10.9890,1.52,0.0
1787731328.756,172,17.5,58584,11.0040,1.52,0.0
1787731328.775,173,18.4,55543,11.0076,1.52,0.0
1787731328.792,174,17.7,57695,10.9885,1.52,0.0
1787731328.810,175,17.9,57136,10.9881,1.52,0.0
1787731328.828,176,17.8,57661,11.0075,1.52,0.0
1787731328.847,177,18.1,56690,11.0087,1.52,0.0
1787731328.864,178,17.8,57589,11.0007,1.52,0.0
1787731328.882,179,17.9,57156,11.0401,1.52,0.0
1787731328.900,180,17.7,57729,11.0225,1.52,0.0
1787731328.918,181,17.9,57077,11.0303,1.52,0.0
1787731328.936,182,17.8,57673,11.0172,1.52,0.0
