ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787728965.312,96,14.5,70670,10.9757,1.52,0.0
1787728965.327,97,14.5,70675,10.9979,1.52,0.0
1787728965.341,98,14.5,70646,11.0000,1.52,0.0
1787728965.356,99,14.5,70713,10.9935,1.52,0.0
1787728965.371,100,14.5,70591,11.0156,1.52,0.0
1787728965.385,101,14.5,70608,11.0013,1.52,0.0
1787728965.400,102,14.5,70712,11.0287,1.52,0.0
1787728965.415,103,14.5,70498,11.0062,1.52,0.0
1787728965.429,104,14.5,70629,11.0033,1.52,0.0
1787728965.444,105,14.5,70598,10.9904,1.52,0.0
1787728965.458,106,14.5,70626,10.9672,1.52,0.0
1787728965.473,107,14.5,70750,10.9700,1.52,0.0
1787728965.488,108,14.5,70606,10.9993,1.52,0.0
1787728966.681,109,1193.1,858,10.9795,1.52,1172.9
1787728966.715,110,34.1,30021,10.9670,1.52,0.8
1787728966.758,111,42.3,24201,10.9849,1.52,1.3
1787728966.783,112,24.8,41290,11.0124,1.52,0.3
1787728966.799,113,15.2,67479,10.9946,1.52,0.0
1787728966.813,114,14.5,70417,11.0140,1.52,0.0
1787728966.828,115,14.5,70635,11.0177,1.52,0.0
1787728966.842,116,14.5,70721,11.0112,1.52,0.0
1787728967.435,117,592.0,1730,11.0089,1.52,579.3
1787728968.040,118,605.4,1692,11.0167,1.52,578.7
1787728968.091,119,50.6,20245,10.9920,1.52,1.3
1787728968.133,120,41.2,24869,10.9954,1.52,0.5
1787728968.149,121,15.7,65081,10.9977,1.52,0.0
1787728968.164,122,14.6,70163,11.0126,1.52,0.0
1787728968.178,123,14.5,70398,10.9711,1.52,0.0
1787728968.193,124,14.5,70467,10.9900,1.52,0.0
1787728969.375,125,1181.5,867,11.0030,1.52,1162.7
1787728969.408,126,33.4,30669,10.9996,1.52,0.0
1787728969.460,127,51.6,19836,11.0094,1.52,0.3
1787728969.488,128,27.6,37067,11.0013,1.52,0.0
1787728969.504,129,15.4,66586,10.9960,1.52,0.0
1787728969.519,130,14.8,69189,10.9793,1.52,0.0
1787728969.533,131,14.6,70371,10.9951,1.52,0.0
1787728969.548,132,14.5,70590,10.9879,1.52,0.0
1787728969.563,133,14.5,70608,11.0188,1.52,0.0
1787728969.577,134,14.5,70661,11.0085,1.52,0.0
1787728969.592,135,14.5,70488,10.9668,1.52,0.0
1787728969.607,136,14.5,70676,10.9992,1.52,0.0
1787728969.621,137,14.5,70630,11.0101,1.52,0.0
1787728969.636,138,14.5,70557,11.0041,1.52,0.0
1787728969.650,139,14.5,70604,11.0037,1.52,0.0
1787728969.665,140,14.5,70594,10.9922,1.52,0.0
1787728969.680,141,14.5,70604,11.0527,1.52,0.0
1787728969.694,142,14.5,70589,10.9791,1.52,0.0
1787728969.709,143,14.5,70483,11.0106,1.52,0.0
1787728970.883,144,600.9,1704,10.9948,1.52,578.8
1787728970.924,145,40.9,25029,10.9861,1.52,0.5
1787728970.975,146,51.1,20043,11.0060,1.52,0.0
1787728970.993,147,17.3,59067,11.0196,1.52,0.0
1787728971.008,148,14.9,68834,11.0030,1.52,0.0
1787728971.022,149,14.5,70643,11.0091,1.52,0.0
1787728971.037,150,14.5,70514,11.0260,1.52,0.0
1787728971.052,151,14.5,70586,10.9906,1.52,0.0
1787728971.066,152,14.5,70475,11.0160,1.52,0.0
1787728971.081,153,14.5,70384,11.0362,1.52,0.0
1787728971.095,154,14.5,70603,10.9967,1.52,0.0
1787728971.110,155,14.5,70581,11.0060,1.52,0.0
1787728971.125,156,14.5,70578,11.0160,1.52,0.0
1787728971.139,157,14.6,70123,10.9889,1.52,0.0
1787728971.154,158,14.5,70637,11.0111,1.52,0.0
1787728971.169,159,14.5,70565,10.9792,1.52,0.0
1787728971.183,160,14.5,70520,11.0053,1.52,0.0
1787728971.198,161,14.5,70538,11.0244,1.52,0.0
1787728971.213,162,14.5,70488,11.0151,1.52,0.0
1787728971.227,163,14.5,70701,11.0064,1.52,0.0
1787728971.242,164,14.5,70741,11.0067,1.52,0.0
1787728971.256,165,14.5,70655,11.0089,1.52,0.0
1787728971.271,166,14.5,70516,10.9757,1.52,0.0
1787728971.286,167,14.5,70593,11.0025,1.52,0.0
1787728971.300,168,14.5,70737,11.0031,1.52,0.0
1787728971.315,169,14.5,70547,11.0430,1.52,0.0
1787728971.329,170,14.5,70668,10.9749,1.52,0.0
1787728971.344,171,14.5,70680,10.9598,1.52,0.0
1787728971.359,172,14.5,70556,10.9991,1.52,0.0
1787728971.373,173,14.5,70574,10.9980,1.52,0.0
1787728971.388,174,14.5,70678,11.0169,1.52,0.0
1787728971.402,175,14.5,70685,10.9852,1.52,0.0
1787728971.417,176,14.5,70622,11.0098,1.52,0.0
1787728971.432,177,14.5,70641,10.9825,1.52,0.0
1787728971.446,178,14.5,70568,11.0037,1.52,0.0
1787728971.461,179,14.5,70675,11.0331,1.52,0.0
1787728971.475,180,14.5,70630,11.0182,1.52,0.0
1787728971.490,181,14.5,70506,11.0336,1.52,0.0
1787728971.505,182,14.5,70483,11.0245,1.52,0.0
1787728971.519,183,14.5,70590,10.9983,1.52,0.0
1787728971.534,184,14.5,70672,11.0179,1.52,0.0
1787728971.548,185,14.5,70635,10.9520,1.52,0.0
1787728971.563,186,14.5,70646,11.0095,1.52,0.0
1787728971.578,187,14.5,70506,11.0056,1.52,0.0
1787728971.592,188,14.5,70593,10.9810,1.52,0.0
1787728971.607,189,14.5,70531,10.9852,1.52,0.0
1787728971.621,190,14.5,70607,10.9871,1.52,0.0
1787728971.636,191,14.6,70254,10.9998,1.52,0.0
1787728971.651,192,14.5,70603,11.0152,1.52,0.0
1787728971.665,193,14.5,70607,11.0398,1.52,0.0
1787728971.680,194,14.5,70550,11.0087,1.52,0.0
1787728971.695,195,14.5,70533,11.0202,1.52,0.0
1787728971.709,196,14.5,70504,10.9960,1.52,0.0
1787728971.724,197,14.5,70569,11.0179,1.52,0.0
1787728971.738,198,14.5,70654,11.0096,1.52,0.0
1787728971.753,199,14.5,70599,10.9974,1.52,0.0
1787728971.768,200,14.5,70640,11.0276,1.52,0.0
1787728971.782,201,14.5,70639,10.9922,1.52,0.0
1787728971.797,202,14.5,70606,10.9747,1.52,0.0
1787728971.811,203,14.5,70498,11.0291,1.52,0.0
1787728971.826,204,14.5,70608,10.9918,1.52,0.0
1787728971.841,205,14.5,70535,10.9841,1.52,0.0
1787728971.855,206,14.5,70401,10.9873,1.52,0.0
1787728971.870,207,14.5,70597,10.9824,1.52,0.0
1787728971.885,208,14.5,70556,11.0114,1.52,0.0
1787728971.899,209,14.5,70519,10.9872,1.52,0.0
1787728971.914,210,14.5,70574,10.9876,1.52,0.0
1787728971.928,211,14.5,70421,11.0074,1.52,0.0
1787728971.943,212,14.5,70472,11.0076,1.52,0.0
1787728971.958,213,14.5,70591,10.9987,1.52,0.0
1787728971.972,214,14.5,70642,10.9899,1.52,0.0
1787728971.987,215,14.5,70549,10.9994,1.52,0.0
1787728972.002,216,14.5,70542,11.0016,1.52,0.0
1787728972.016,217,14.5,70636,10.9854,1.52,0.0
1787728972.031,218,14.5,70451,10.9747,1.52,0.0
1787728972.045,219,14.5,70617,11.0143,1.52,0.0
1787728972.060,220,14.5,70555,10.9807,1.52,0.0
1787728972.075,221,14.5,70394,11.0122,1.52,0.0
1787728972.089,222,14.5,70555,10.9876,1.52,0.0
1787728972.104,223,14.5,70577,10.9723,1.52,0.0
1787728972.119,224,14.5,70588,10.9977,1.52,0.0
1787728972.133,225,14.6,70268,10.9636,1.52,0.0
1787728972.148,226,14.5,70541,10.9789,1.52,0.0
1787728972.163,227,14.5,70666,11.0035,1.52,0.0
1787728972.177,228,14.5,70590,11.0035,1.52,0.0
1787728972.192,229,14.5,70550,10.9936,1.52,0.0
1787728972.206,230,14.5,70524,10.9855,1.52,0.0
1787728972.221,231,14.5,70680,11.0090,1.52,0.0
1787728972.236,232,14.5,70487,10.9790,1.52,0.0
1787728972.250,233,14.5,70600,10.9563,1.52,0.0
1787728972.265,234,14.5,70668,10.9656,1.52,0.0
1787728972.279,235,14.5,70621,11.0154,1.52,0.0
1787728972.294,236,14.6,70330,10.9814,1.52,0.0
1787728972.309,237,14.5,70606,10.9821,1.52,0.0
1787728972.323,238,14.5,70568,11.0118,1.52,0.0
1787728972.338,239,14.5,70523,10.9756,1.52,0.0
1787728972.353,240,14.5,70521,11.0128,1.52,0.0
1787728972.367,241,14.5,70524,10.9904,1.52,0.0
1787728972.382,242,14.5,70513,10.9584,1.52,0.0
1787728972.396,243,14.5,70654,10.9864,1.52,0.0
1787728972.411,244,14.5,70660,10.9578,1.52,0.0
1787728972.426,245,14.5,70516,10.9925,1.52,0.0
1787728972.440,246,14.5,70589,11.0031,1.52,0.0
1787728972.455,247,14.5,70647,10.9909,1.52,0.0
1787728972.469,248,14.5,70539,11.0135,1.52,0.0
1787728972.484,249,14.5,70672,11.0122,1.52,0.0
1787728972.499,250,14.5,70565,11.0049,1.52,0.0
1787728972.513,251,14.5,70563,10.9665,1.52,0.0
1787728972.528,252,14.5,70569,11.0114,1.52,0.0
1787728972.543,253,14.5,70672,11.0004,1.52,0.0
1787728972.557,254,14.5,70596,10.9879,1.52,0.0
1787728972.572,255,14.5,70532,10.9790,1.52,0.0
1787728972.586,256,14.5,70572,10.9818,1.52,0.0
1787728972.601,257,14.5,70535,10.9789,1.52,0.0
1787728972.616,258,14.5,70603,11.0126,1.52,0.0
1787728972.630,259,14.5,70662,10.9739,1.52,0.0
1787728972.645,260,14.5,70550,11.0169,1.52,0.0
1787728972.659,261,14.5,70524,10.9909,1.52,0.0
1787728972.674,262,14.5,70622,10.9764,1.52,0.0
1787728972.689,263,14.5,70547,10.9887,1.52,0.0
1787728972.703,264,14.5,70640,11.0102,1.52,0.0
1787728972.718,265,14.5,70516,10.9786,1.52,0.0
1787728972.732,266,14.5,70668,10.9967,1.52,0.0
1787728972.747,267,14.5,70600,10.9885,1.52,0.0
1787728972.762,268,14.5,70678,10.9906,1.52,0.0
1787728972.776,269,14.5,70628,10.9749,1.52,0.0
1787728972.791,270,14.5,70683,10.9833,1.52,0.0
1787728972.805,271,14.5,70598,10.9857,1.52,0.0
1787728972.820,272,14.5,70644,10.9909,1.52,0.0
1787728972.835,273,14.5,70532,10.9957,1.52,0.0
1787728972.849,274,14.5,70545,11.0060,1.52,0.0
1787728972.864,275,14.5,70623,10.9923,1.52,0.0
1787728972.878,276,14.5,70646,11.0159,1.52,0.0
1787728972.893,277,14.5,70671,10.9527,1.52,0.0
1787728972.908,278,14.5,70524,10.9676,1.52,0.0
1787728972.922,279,14.5,70668,10.9836,1.52,0.0
1787728972.937,280,14.5,70449,10.9769,1.52,0.0
1787728972.952,281,14.5,70567,10.9800,1.52,0.0
1787728972.966,282,14.5,70491,10.9756,1.52,0.0
1787728972.981,283,14.5,70569,10.9926,1.52,0.0
1787728972.996,284,14.9,68768,10.9837,1.52,0.0
1787728973.010,285,14.5,70548,10.9846,1.52,0.0
1787728973.025,286,14.5,70509,10.9516,1.52,0.0
1787728973.040,287,15.1,68033,10.9926,1.52,0.0
1787728973.055,288,14.5,70570,10.9841,1.52,0.0
1787728973.069,289,14.5,70499,10.9855,1.52,0.0
1787728973.084,290,14.5,70594,10.9916,1.52,0.0
1787728973.099,291,14.5,70575,10.9677,1.52,0.0
1787728973.113,292,14.5,70601,10.9792,1.52,0.0
1787728973.128,293,14.5,70607,10.9691,1.52,0.0
1787728973.143,294,14.6,70264,11.0169,1.52,0.0
1787728973.157,295,14.5,70672,10.9827,1.52,0.0
1787728973.172,296,14.5,70577,10.9993,1.52,0.0
1787728973.186,297,14.5,70637,10.9718,1.52,0.0
1787728973.201,298,14.5,70574,10.9468,1.52,0.0
1787728973.216,299,14.5,70629,10.9571,1.52,0.0
1787728973.230,300,14.5,70626,10.9540,1.52,0.0
1787728973.245,301,14.5,70588,10.9978,1.52,0.0
1787728973.259,302,14.5,70664,10.9909,1.52,0.0
1787728973.274,303,14.5,70613,10.9529,1.52,0.0
1787728973.289,304,14.5,70625,10.9901,1.52,0.0
1787728973.303,305,14.5,70467,10.9954,1.52,0.0
1787728973.318,306,14.5,70512,10.9636,1.52,0.0
1787728973.333,307,14.5,70502,11.0125,1.52,0.0
1787728973.347,308,14.5,70684,10.9709,1.52,0.0
1787728973.362,309,14.5,70582,10.9918,1.52,0.0
1787728973.376,310,14.5,70549,10.9711,1.52,0.0
1787728973.391,311,14.5,70657,11.0013,1.52,0.0
1787728973.406,312,14.5,70535,11.0045,1.52,0.0
1787728973.420,313,14.5,70642,10.9601,1.52,0.0
1787728973.435,314,14.5,70521,10.9788,1.52,0.0
1787728973.449,315,14.5,70676,10.9952,1.52,0.0
1787728973.464,316,14.5,70632,11.0166,1.52,0.0
1787728973.479,317,14.5,70568,10.9839,1.52,0.0
1787728973.493,318,14.5,70528,10.9795,1.52,0.0
1787728973.508,319,14.5,70663,10.9799,1.52,0.0
1787728973.522,320,14.5,70748,10.9534,1.52,0.0
1787728973.537,321,14.5,70451,10.9850,1.52,0.0
1787728973.552,322,14.5,70572,10.9573,1.52,0.0
1787728973.566,323,14.5,70615,10.9972,1.52,0.0
1787728973.581,324,14.5,70644,10.9902,1.52,0.0
1787728973.595,325,14.5,70686,10.9858,1.52,0.0
1787728973.610,326,14.5,70560,10.9406,1.52,0.0
1787728973.625,327,14.5,70554,10.9786,1.52,0.0
1787728973.639,328,14.5,70599,10.9436,1.52,0.0
1787728973.654,329,14.5,70568,10.9745,1.52,0.0
1787728973.668,330,14.5,70546,10.9713,1.52,0.0
1787728973.683,331,14.7,69781,11.0156,1.52,0.0
1787728973.698,332,14.5,70601,10.9709,1.52,0.0
1787728973.712,333,14.5,70576,10.9837,1.52,0.0
1787728973.727,334,14.5,70564,10.9688,1.52,0.0
1787728973.742,335,14.5,70644,10.9901,1.52,0.0
1787728973.756,336,14.5,70620,10.9704,1.52,0.0
1787728973.771,337,14.5,70590,11.0023,1.52,0.0
1787728973.786,338,14.5,70523,10.9652,1.52,0.0
1787728973.800,339,14.5,70606,10.9729,1.52,0.0
1787728973.815,340,14.5,70617,10.9989,1.52,0.0
1787728973.829,341,14.5,70555,10.9941,1.52,0.0
1787728973.844,342,14.5,70630,10.9898,1.52,0.0
1787728973.859,343,14.5,70395,10.9936,1.52,0.0
1787728973.873,344,14.5,70536,10.9969,1.52,0.0
1787728973.888,345,14.5,70622,10.9868,1.52,0.0
1787728973.902,346,14.5,70430,10.9921,1.52,0.0
1787728973.917,347,14.5,70656,10.9623,1.52,0.0
1787728973.932,348,14.5,70534,10.9784,1.52,0.0
1787728973.946,349,14.5,70508,10.9928,1.52,0.0
1787728973.961,350,14.5,70542,11.0332,1.52,0.0
1787728973.976,351,14.5,70611,10.9704,1.52,0.0
1787728973.990,352,14.5,70581,10.9844,1.52,0.0
1787728974.005,353,14.5,70440,10.9748,1.52,0.0
1787728974.019,354,14.5,70619,10.9945,1.52,0.0
1787728974.034,355,14.5,70633,10.9717,1.52,0.0
1787728974.049,356,15.2,67423,10.9750,1.52,0.0
1787728974.064,357,14.5,70574,10.9568,1.52,0.0
1787728974.079,358,14.5,70446,10.9831,1.52,0.0
1787728974.094,359,14.8,69058,11.0157,1.52,0.0
1787728974.108,360,14.5,70660,10.9817,1.52,0.0
1787728974.123,361,14.5,70666,10.9728,1.52,0.0
1787728974.139,362,15.7,65106,10.9865,1.52,0.0
1787728974.153,363,13.9,73760,10.9826,1.52,0.0
1787728974.167,364,13.9,73933,10.9691,1.52,0.0
1787728974.181,365,13.9,73915,10.9532,1.52,0.0
1787728974.195,366,13.8,73957,10.9746,1.52,0.0
1787728974.209,367,13.9,73926,10.9850,1.52,0.0
1787728974.222,368,13.8,74064,10.9946,1.52,0.0
1787728974.236,369,13.9,73750,10.9618,1.52,0.0
1787728974.250,370,13.9,73921,10.9825,1.52,0.0
1787728974.264,371,13.9,73851,10.9608,1.52,0.0
1787728974.278,372,13.9,73864,10.9869,1.52,0.0
1787728974.292,373,13.8,74014,10.9750,1.52,0.0
