ts,step,dt_ms,tok_per_s,loss,peak_gib
1787726667.532,1,186.3,5497,12.2187,1.50
1787726667.552,2,19.3,53049,12.2796,1.52
1787726667.571,3,18.6,54953,12.1958,1.52
1787726667.590,4,18.7,54757,12.1576,1.52
1787726667.610,5,20.1,51013,12.0547,1.52
1787726667.632,6,21.7,47117,12.2075,1.52
1787726667.701,7,68.6,14927,11.9828,1.52
1787726667.772,8,70.7,14493,12.0901,1.52
1787726667.801,9,29.2,35015,11.9046,1.52
1787726667.833,10,31.5,32520,11.8235,1.52
1787726667.905,11,72.0,14221,11.8538,1.52
1787726667.978,12,71.9,14244,11.7400,1.52
1787726668.009,13,31.1,32933,11.7300,1.52
1787726668.056,14,46.4,22050,11.6870,1.52
1787726668.133,15,76.7,13342,11.5807,1.52
1787726668.197,16,63.8,16051,11.5413,1.52
1787726668.221,17,24.2,42340,11.5558,1.52
1787726668.280,18,59.3,17272,11.5419,1.52
1787726668.315,19,34.2,29945,11.5084,1.52
1787726668.334,20,19.0,53948,11.4321,1.52
1787726668.353,21,18.9,54216,11.3985,1.52
1787726668.372,22,18.9,54218,11.4162,1.52
1787726668.391,23,18.9,54254,11.4068,1.52
1787726668.410,24,18.9,54275,11.3738,1.52
1787726668.429,25,18.9,54240,11.3837,1.52
1787726668.448,26,18.9,54241,11.2742,1.52
1787726668.467,27,18.9,54307,11.2768,1.52
1787726668.486,28,18.9,54277,11.3107,1.52
1787726668.505,29,18.9,54234,11.2417,1.52
1787726668.524,30,18.9,54261,11.2225,1.52
1787726668.543,31,18.8,54338,11.2013,1.52
1787726668.562,32,18.9,54152,11.1692,1.52
1787726668.581,33,18.9,54219,11.1621,1.52
1787726668.600,34,18.9,54253,11.1685,1.52
1787726668.619,35,18.9,54303,11.1461,1.52
1787726668.638,36,18.9,54275,11.0831,1.52
1787726668.657,37,18.9,54321,11.1530,1.52
1787726668.676,38,18.9,54281,11.1619,1.52
1787726668.695,39,18.9,54279,11.0910,1.52
1787726668.714,40,18.9,54262,11.1457,1.52
1787726668.733,41,18.9,54262,11.1397,1.52
1787726668.752,42,18.9,54275,11.0904,1.52
1787726668.771,43,18.9,54286,11.0969,1.52
1787726668.790,44,18.9,54285,11.1146,1.52
1787726668.809,45,18.9,54236,11.1106,1.52
1787726668.828,46,18.9,54294,11.0739,1.52
1787726668.847,47,18.9,54296,11.0358,1.52
1787726668.866,48,18.9,54244,11.0730,1.52
1787726668.885,49,18.8,54358,11.0436,1.52
1787726668.904,50,18.9,54319,11.0540,1.52
1787726668.922,51,18.9,54270,11.0716,1.52
1787726668.941,52,18.9,54306,11.0806,1.52
1787726668.960,53,18.9,54246,11.0420,1.52
1787726668.979,54,18.9,54244,11.0324,1.52
1787726668.998,55,18.9,54228,11.0471,1.52
1787726669.017,56,18.9,54204,11.0550,1.52
1787726669.036,57,18.9,54225,11.0120,1.52
1787726669.055,58,18.9,54310,11.0745,1.52
1787726669.074,59,18.9,54215,11.0366,1.52
1787726669.093,60,18.9,54244,11.0134,1.52
1787726669.112,61,18.9,54231,11.0306,1.52
1787726669.131,62,18.9,54275,11.0192,1.52
1787726669.150,63,18.9,54230,11.0269,1.52
1787726669.169,64,18.9,54269,11.0582,1.52
1787726669.188,65,18.9,54262,10.9823,1.52
1787726669.207,66,18.9,54240,11.0430,1.52
1787726669.226,67,18.9,54288,11.0072,1.52
1787726669.245,68,18.9,54233,11.0294,1.52
1787726669.264,69,18.9,54212,11.0046,1.52
1787726669.283,70,18.8,54329,10.9850,1.52
1787726669.302,71,18.9,54223,11.0261,1.52
1787726669.321,72,18.9,54268,11.0033,1.52
1787726669.340,73,18.9,54309,10.9696,1.52
1787726669.359,74,18.9,54153,10.9938,1.52
1787726669.378,75,18.8,54339,11.0079,1.52
1787726669.397,76,18.9,54229,10.9981,1.52
1787726669.416,77,18.9,54216,10.9645,1.52
1787726669.435,78,18.9,54253,11.0170,1.52
1787726669.454,79,18.9,54177,11.0078,1.52
1787726669.473,80,18.9,54210,10.9893,1.52
1787726669.492,81,18.9,54218,11.0040,1.52
1787726669.511,82,18.9,54163,11.0184,1.52
1787726669.530,83,18.9,54233,10.9882,1.52
1787726669.549,84,18.9,54262,11.0152,1.52
1787726669.568,85,18.9,54246,11.0095,1.52
1787726669.588,86,19.5,52524,10.9684,1.52
1787726669.608,87,19.6,52222,10.9746,1.52
1787726669.628,88,19.4,52697,10.9587,1.52
1787726669.648,89,19.7,51904,10.9984,1.52
1787726669.667,90,19.6,52345,10.9931,1.52
1787726669.687,91,19.4,52727,10.9659,1.52
1787726669.707,92,19.4,52673,10.9899,1.52
1787726669.727,93,19.6,52189,11.0036,1.52
1787726669.747,94,19.5,52501,10.9623,1.52
1787726669.767,95,19.8,51806,10.9836,1.52
1787726669.786,96,19.3,53104,10.9674,1.52
1787726669.805,97,18.9,54119,10.9712,1.52
1787726669.824,98,18.9,54235,10.9689,1.52
1787726669.843,99,18.9,54217,10.9760,1.52
1787726669.862,100,18.9,54232,10.9845,1.52
1787726669.881,101,18.9,54216,10.9722,1.52
1787726669.900,102,18.9,54225,10.9672,1.52
1787726669.919,103,18.9,54209,10.9925,1.52
1787726669.938,104,18.9,54218,10.9856,1.52
1787726669.957,105,18.9,54268,10.9720,1.52
1787726669.976,106,18.9,54243,10.9765,1.52
1787726669.995,107,18.9,54292,10.9801,1.52
1787726670.014,108,18.9,54241,10.9828,1.52
1787726670.033,109,18.9,54254,10.9604,1.52
1787726670.052,110,18.9,54216,10.9855,1.52
1787726670.071,111,18.8,54333,10.9752,1.52
1787726670.090,112,18.9,54292,11.0135,1.52
1787726670.109,113,18.9,54264,10.9989,1.52
1787726670.128,114,18.9,54193,10.9948,1.52
1787726670.147,115,18.9,54317,11.0357,1.52
1787726670.166,116,18.9,54225,11.0150,1.52
1787726670.185,117,18.9,54281,11.0192,1.52
1787726670.204,118,18.9,54216,11.0295,1.52
