ts,step,dt_ms,tok_per_s,loss,peak_gib
1787726022.817,1,170.9,5992,12.2187,1.50
1787726022.842,2,19.0,53925,12.2812,1.52
1787726022.861,3,18.6,55055,12.2035,1.52
1787726022.879,4,18.6,55119,12.1646,1.52
1787726022.898,5,18.6,55075,12.0484,1.52
1787726022.917,6,18.6,54959,12.1948,1.52
1787726022.936,7,18.6,55090,11.9908,1.52
1787726022.954,8,18.6,55063,12.0898,1.52
1787726022.973,9,18.6,55096,11.8959,1.52
1787726022.992,10,18.6,55091,11.8238,1.52
1787726023.010,11,18.6,55047,11.8541,1.52
1787726023.029,12,18.6,55059,11.7352,1.52
1787726023.048,13,18.6,55082,11.7347,1.52
1787726023.067,14,18.6,55067,11.6872,1.52
1787726023.085,15,18.6,55068,11.5798,1.52
1787726023.104,16,18.6,55035,11.5444,1.52
1787726023.123,17,18.6,55052,11.5528,1.52
1787726023.141,18,18.6,55038,11.5372,1.52
1787726023.160,19,18.8,54377,11.5123,1.52
1787726023.179,20,18.6,55013,11.4293,1.52
1787726023.198,21,18.6,55050,11.4035,1.52
1787726023.217,22,18.6,55027,11.4172,1.52
1787726023.235,23,18.6,55053,11.4025,1.52
1787726023.254,24,18.6,55111,11.3747,1.52
1787726023.273,25,18.6,55146,11.3895,1.52
1787726023.291,26,18.6,55042,11.2651,1.52
1787726023.310,27,18.6,55071,11.2764,1.52
1787726023.329,28,18.6,55055,11.3108,1.52
1787726023.347,29,18.6,55079,11.2494,1.52
1787726023.366,30,18.6,55066,11.2226,1.52
1787726023.385,31,18.6,55075,11.2008,1.52
1787726023.404,32,18.6,55077,11.1658,1.52
1787726023.422,33,18.6,55067,11.1625,1.52
1787726023.441,34,18.6,55095,11.1801,1.52
1787726023.460,35,18.6,55044,11.1495,1.52
1787726023.478,36,18.6,55048,11.0900,1.52
1787726023.497,37,18.6,55112,11.1462,1.52
1787726023.516,38,18.6,55073,11.1533,1.52
1787726023.534,39,18.6,55086,11.0916,1.52
1787726023.553,40,18.6,55106,11.1404,1.52
1787726023.572,41,18.6,55038,11.1381,1.52
1787726023.591,42,18.6,54917,11.1009,1.52
1787726023.609,43,18.6,55069,11.1005,1.52
1787726023.628,44,18.6,55095,11.1175,1.52
1787726023.647,45,18.6,55105,11.1023,1.52
1787726023.665,46,18.6,55104,11.0687,1.52
1787726023.684,47,18.6,55095,11.0476,1.52
1787726023.703,48,18.6,55111,11.0737,1.52
1787726023.721,49,18.6,55113,11.0525,1.52
1787726023.740,50,18.6,55101,11.0483,1.52
1787726023.759,51,18.6,55078,11.0744,1.52
1787726023.778,52,18.6,55036,11.0791,1.52
1787726023.796,53,18.6,55130,11.0485,1.52
1787726023.815,54,18.6,55042,11.0273,1.52
1787726023.834,55,18.6,55096,11.0415,1.52
1787726023.852,56,18.6,55110,11.0488,1.52
1787726023.871,57,18.6,55103,11.0147,1.52
1787726023.890,58,18.6,55082,11.0750,1.52
1787726023.908,59,18.6,55081,11.0345,1.52
1787726023.927,60,18.6,55041,11.0227,1.52
